"the_geom","OBJECTID","landmarkno","address","yearbuilt","Name","proptype","yeardes","desage","crit1","crit2","crit3","crit1txt","crit2txt","crit3txt","sigsum","context","style","archbuild","sigperson","ntlreg","doccontext","potcontext","legbus","culturaldist","potcultural","idencultural","culturalsum","cultural_1","rbrp","desdoc","pimlink","largephoto","thumbail","status","description"
"MULTIPOLYGON (((-122.427234359178 37.771654567105, -122.427275958219 37.771860866186, -122.427300018681 37.771980186437, -122.427171875182 37.77199648485, -122.427105933292 37.771670913182, -122.427234359178 37.771654567105)))","146","47","201 Buchanan Street","1,882","Nightingale House","Residential - SF","1,972","90","Y","Y","Y","Associated with historic events","Associated with individuals important to local, state, or national history","Significant for architecture or design or is the work of a master","Associated with historic events; Associated with individuals important to local, state, or national history; Significant for architecture or design or is the work of a master","Gold Rush to Earthquake; Residential, single-family; Victorian Era, Queen Anne, Eastlake","Eastlake / Queen
Anne","John Marquis","John Nightingale",,,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM47.pdf","https://sfplanninggis.org/pim?search=0858/002","https://sfplanninggis.org/Preservation/Landmarks/Large/47.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/47.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.395795601885 37.787484122594, -122.395978363011 37.787630370345, -122.395531310921 37.78798245043, -122.395348549796 37.787836199981, -122.395795601885 37.787484122594)))","48","278","234-246 1st Street","1,930","Phillips Building","Industrial","2,018","88","N","N","Y",,,"Significant for architecture or design or is the work of a master","Significant for architecture or design or is the work of a master","Great Constructions; Industrial, Regional Manufacturing, Shops, & Mills; Architecture of the Progressive Era and Early 20th Century, Art Deco","Art Deco","Henry H. Meyers and his associate George R. Klinkhardt",,,,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM278.pdf","https://sfplanninggis.org/pim?search=3736/006","https://sfplanninggis.org/Preservation/Landmarks/Large/278.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/278.jpg","Adopted","Designed in 1930 by prominent local architects Henry H. Meyers and George R. Klinkhardt, the Phillips Building is significant as a distinctive and intact example of the Art Deco style, a comparatively rare style in San Francisco. The building was constructed to house the new printing operation of the Phillips & Van Orden Company, which occupied the building from 1930 until approximately 1947."
"MULTIPOLYGON (((-122.430765863753 37.786881903277, -122.43053649976 37.786911049406, -122.430461535871 37.786538142821, -122.430690898966 37.786508997592, -122.430765863753 37.786881903277)))","86","291","1830 Sutter Street","1,932","Japanese YWCA/Issei Women's Building","Institutional/Educational","2,021","89","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Great Constructions; Private and Public Institutional, Recreation and Culture, Clubs and Social Halls; Japanese-American; LGBTQ; African-American; Women's Rights; Late 19th and Early 20th Century Revival, Globally-Inspired Revival Styles","Japanese-inspired","Julia Morgan",,,"Japantown/Japanese-American; LGBTQ, African-American, Women's Rights",,,"Japantown",,"Women; African American; LGBTQ","Landmark is associated with a social, ethnic, or cultural group","Y","`","https://sfplanninggis.org/docs/landmarks_and_districts/LM291.pdf","https://sfplanninggis.org/pim?search=0676035","https://sfplanninggis.org/Preservation/Landmarks/Large/291.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/291.jpg","Adopted","The Japanese YWCA/Issei Women’s Building is significant for its association with Japanese American history and culture in San Francisco, specifically, with Japanese American women who founded the first independent Japanese YWCA in the United States and commissioned what appears to be the only building purpose-built by and for Issei women in the United States. The building is also significant for its association with the African American civil rights movement, as the building served as the San Francisco chapter of the Committee on Racial Equality (CORE) and was the site of numerous meetings, events, trainings, and gatherings organized to advance the civil rights of African Americans during the 1942-1959 tenancy of the American Friends Service Committee. The building is further significant for its association with the advancement of LGBTQ rights, as the building was the center of civil rights leader Bayard Rustin’s organizing work early in his career ,and was the site of pioneering LGBTQ organization the Mattachine Society’s first convention in 1954. Lastly, 1830 Sutter Street is architecturally significant as the work of master architect Julia Morgan.  "
"MULTIPOLYGON (((-122.444603073773 37.78886990862, -122.44454700464 37.788592816705, -122.445016827564 37.788533002796, -122.445086890148 37.788879239985, -122.445157693772 37.789229134717, -122.444687863654 37.789288937834, -122.444630781885 37.789006843891, -122.444617065425 37.788939054794, -122.444603073773 37.78886990862)))","162","240","3150 Sacramento Street","1,921","Presidio Branch Carnegie Library","Government","2,004","83","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Great Constructions; Private and Public Institutions; Libraries, Carnegie Libraries","Unknown",,,,,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM240.pdf","https://sfplanninggis.org/pim?search=1006/012","https://sfplanninggis.org/Preservation/Landmarks/Large/240.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/240.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.403974228128 37.78633703013, -122.40388874487 37.786268936163, -122.403827217752 37.786317513942, -122.403717310705 37.786229964941, -122.403595708875 37.786229125874, -122.40343565743 37.786355494111, -122.403423444636 37.786345766144, -122.403154783866 37.786131755376, -122.403064234727 37.786059520031, -122.402885211183 37.786201072422, -122.402841231637 37.786166036633, -122.402584376268 37.785961428277, -122.402589445746 37.785957423596, -122.403176765995 37.785493709767, -122.403566987227 37.785805438171, -122.403568620395 37.785806742188, -122.403813745008 37.785613470685, -122.403811940069 37.785612032669, -122.403886240258 37.785553369892, -122.40416618662 37.785777003406, -122.404202577687 37.785748308738, -122.404633153297 37.786092263447, -122.404706754713 37.786034159149, -122.404946990611 37.786226062783, -122.40436391876 37.78668635739, -122.404120663837 37.786492587663, -122.404145196444 37.786473218065, -122.403974228128 37.78633703013)))","182","87","220-226 Jessie Street","1,907","Jessie St. Substation","Industrial","1,977","70","N","N","Y",,,"Significant for architecture or design or is the work of a master","Significant for architecture or design or is the work of a master","Reconstruction ; Government and Infrastructure, Water & Power; Late 19th/Early 20th C. Revival Period, Classical Revival","Classical Revival","Willis Polk",,"Yes",,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM87.pdf","https://sfplanninggis.org/pim?search=3706/248","https://sfplanninggis.org/Preservation/Landmarks/Large/87.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/87.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.412894437129 37.787076369979, -122.413108034208 37.787049407404, -122.413141104978 37.787211852845, -122.412831814636 37.787250896012, -122.412671189424 37.787271171228, -122.412638118654 37.787108723989, -122.412894437129 37.787076369979)))","39","159","620 Jones Street","1,928","Gaylord Hotel","Residential - MF","1,983","55","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Great Constructions; Residential, multi-family, Apt. hotels; Edwardian-Era & Early 20th c. Period, Spanish Colonial Revival","Spanish Revival","Herman Bauman, built by Arthur & Oliver Rousseau",,"Yes - Lower Nob Hill Apartment Hotel Historic District",,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM159.pdf","https://sfplanninggis.org/pim?search=0305/036","https://sfplanninggis.org/Preservation/Landmarks/Large/159.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/159.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.433016008882 37.785414492085, -122.433031025761 37.785489071064, -122.432713140599 37.785528893044, -122.43269812282 37.785454315864, -122.433016008882 37.785414492085)))","53","266","1712-1716 Fillmore Street","1,893","Marcus Books and Jimbo's Bop City","Commercial","2,014","121","Y","Y","N","Associated with historic events","Associated with individuals important to local, state, or national history",,"Associated with historic events; Associated with individuals important to local, state, or national history","Gold Rush to Earthquake; Commercial, NCD; Private and Public Institutional, Recreation and Culture, Clubs & Social Hall; Redevelopment Agency;  African-American HCS; Gilded Age Styles, Stick Eastlake","Stick-Eastlake","Unknown","Julian and Raye Richardson",,"African-American",,,,,"African American","Landmark is associated with a social, ethnic, or cultural group","Y","Could go into the damaging effects of urban renewal/redevelopment more + talk about the racist nature of the plans but the document does devote a section to it so maybe that is enough?","https://sfplanninggis.org/docs/landmarks_and_districts/LM266.pdf","https://sfplanninggis.org/pim?search=0684/020","https://sfplanninggis.org/Preservation/Landmarks/Large/266.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/266.jpg","Adopted","Built in the 1880s, 1712-1716 Fillmore Street is significant for its association with Jimbo's Bop City – a legendary jazz club in the Fillmore District (1950-1965) – and Marcus Books, the oldest independent African American bookstore in the country. It represents a tangible connection to the post-war African American experience in the Fillmore, the black intellectualism associated with Marcus Books and the shifts in geography and demographics associated with redevelopment in the Western Addition."
"MULTIPOLYGON (((-122.399496447003 37.793381372053, -122.399567875657 37.79372826215, -122.399467791006 37.793741017234, -122.399396362352 37.793394126238, -122.399496447003 37.793381372053)))","310","145","240-242 California Street","1,909","Buich Building/Tadich Grill","Commercial","1,981","72","N","N","Y",,,"Significant for architecture or design or is the work of a master","Significant for architecture or design or is the work of a master","Reconstruction Era; Commercial, Downtown Core;  late 19th/early 20th c. Revival Period, Renaissance Revival","Renaissance; Baroque","Crim & Scott",,,,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM145.pdf","https://sfplanninggis.org/pim?search=0237/009","https://sfplanninggis.org/Preservation/Landmarks/Large/145.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/145.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.399554245532 37.797752672548, -122.39861207169 37.797872748229, -122.398469002143 37.797157347434, -122.399409482561 37.797037486691, -122.399554245532 37.797752672548)))","15","311","Sydney Walton Park","1,894","Colombo Market Arch","Object","2,023","129","Y","N","N","Associated with historic events",,,"Associated with historic events","North Beach; Italian American",,"Clinton Day",,,"Italian-American","Italian-American",,,,,"Landmark is associated with a social, ethnic, or cultural group","Y",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM311.pdf","https://sfplanninggis.org/pim?search=0172/010","https://sfplanninggis.org/Preservation/Landmarks/Large/311.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/311.jpg","Adopted","Colombo Market Arch, the sole surviving remnant of the Colombo Market building, is eligible for local designation for its association with the Colombo Market building and the Italian-American community that founded the market, the first enclosed wholesale market for fruit, vegetables, and related agricultural products. Colombo Market also was a catalyst for development of the city’s produce district and an incubator for Italian agricultural businesses, including the Del Monte Corporation and agricultural interests of A.P. Giannini, who worked as a produce broker, commission merchant, and produce dealer prior to expanding into real estate and banking."
"MULTIPOLYGON (((-122.438371417707 37.773111300646, -122.438446422065 37.773480028081, -122.438361031436 37.77349097283, -122.438286027078 37.773122245395, -122.438371417707 37.773111300646)))","349","89","1152 Oak Street","1,893","Firehouse Engine Co. #2, Truck
#6","Government","1,977","84","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Goldrush to Earthquake; Government and Infrastructure, Fire Stations; Architectural Styles, Victorian Era, Stick/Eastlake;","Stick","Henriksen & Mahoney",,,,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM89.pdf","https://sfplanninggis.org/pim?search=1215/010","https://sfplanninggis.org/Preservation/Landmarks/Large/89.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/89.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.414465070706 37.79701245676, -122.414465946646 37.797016795089, -122.414445436707 37.797019374345, -122.414461862825 37.797100727017, -122.414482372763 37.797098147761, -122.414487794776 37.797124994323, -122.414498049745 37.797123703796, -122.41452003727 37.797232598206, -122.414197810181 37.797273244865, -122.414152844978 37.797051711268, -122.414465070706 37.79701245676)))","253","97","1032 Broadway Street","1,853","Atkinson-Escher House","Residential - SF","1,977","124","N","N","Y",,,"Significant for architecture or design or is the work of a master","Significant for architecture or design or is the work of a master","Gold Rush to Earthquake: Early Settlement, Residential, Early Settlement Architectural Styles, Italian Renaissance","Italian
Renaissance","Joseph Atkinson - builder; Willis Polk - c. 1900 remodel; Bruce Porter - remodel - no date listed",,,,,,,"Chinese American",,"Landmark is associated with a social, ethnic, or cultural group","Y","Further research needed on individuals discussed.","https://sfplanninggis.org/docs/landmarks_and_districts/LM97.pdf","https://sfplanninggis.org/pim?search=0150/045",,,"Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.447411098943 37.770042364164, -122.447429013438 37.770130756729, -122.447088006706 37.770174238051, -122.447070111097 37.770085841888, -122.447411098943 37.770042364164)))","45","253","557 Ashbury Street","1,903","Richard Doolan/Norman Larson Residence and Storefronts","Mixed-Use
Residential","2,006","103","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Gold Rush to Earthquake; Commerical, NCDs; Counter-culture HCS; Late 19th & Early 20th Centruy Revival Styles, Colonial Revival","Colonial Revival","Charles J. U. Koenig; Frank T. Doolan","Janis Joplin",,"Counter Culture",,,,,"Counter Culture","Landmark is associated with a social, ethnic, or cultural group","Y",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM253.pdf","https://sfplanninggis.org/pim?search=1231/009","https://sfplanninggis.org/Preservation/Landmarks/Large/253.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/253.jpg","Adopted","Located at the corner made famous during the hippie movement, this Colonial Revival style house was constructed in 1903 as the personal residence of Richard P. Doolan. A year after the 1906 earthquake and fire, he raised the building to accommodate retail beneath it and added the separate row of storefronts to the west. These two buildings have housed a wide variety of shops through the years. One of the longest tenants was Holcombe Jewelers, which occupied the corner space from 1937 to 1988. Between 1965 and 1968, 1510 Haight Street housed the mod clothing boutique, Mnasidika, one of the first hippie shops in San Francisco."
"MULTIPOLYGON (((-122.389945172032 37.782449867967, -122.389954791181 37.782457497815, -122.389959795008 37.782461335223, -122.389962441713 37.782463264268, -122.389965130686 37.782465153744, -122.389967861028 37.782467008146, -122.389970632738 37.782468823877, -122.38997344312 37.782470601837, -122.389976292172 37.782472340226, -122.389979178996 37.782474039046, -122.389982102692 37.782475695597, -122.389985062361 37.782477314377, -122.389988057103 37.782478889989, -122.38999108512 37.782480424232, -122.389994148211 37.782481917107, -122.389997242778 37.782483365915, -122.390000368822 37.782484771555, -122.390003525442 37.782486135827, -122.39000671174 37.782487454233, -122.390009925917 37.782488727673, -122.390013167973 37.782489958845, -122.390016437009 37.782491144151, -122.390019730326 37.782492281794, -122.390023048825 37.782493376268, -122.390026391605 37.782494423979, -122.390029755968 37.782495424924, -122.390033142815 37.782496379105, -122.390036550346 37.782497285621, -122.390042126143 37.782498701154, -122.390045293555 37.782499570799, -122.39004844388 37.782500483611, -122.390051571723 37.782501442288, -122.39005467978 37.782502443233, -122.390057763555 37.782503487346, -122.390060824847 37.782504571929, -122.390063860958 37.782505699678, -122.390066872788 37.782506873294, -122.390069857638 37.782508082882, -122.390072816407 37.782509335637, -122.390075747298 37.782510629762, -122.390078647611 37.782511965255, -122.390081520046 37.782513337621, -122.390084360105 37.782514752254, -122.390087168688 37.782516204659, -122.390089945794 37.782517695735, -122.390092688726 37.782519226381, -122.390095400182 37.7825207939, -122.390098073867 37.78252239919, -122.390100713377 37.782524039553, -122.390103316015 37.782525717688, -122.390105881781 37.782527431796, -122.390108407977 37.782529180977, -122.390110896401 37.782530964333, -122.390113345255 37.782532782762, -122.390115753639 37.782534635365, -122.390118120655 37.782536519445, -122.39025816758 37.782647606402, -122.390227101399 37.782672275705, -122.390288593444 37.782721051336, -122.389609010847 37.783260713811, -122.389072594025 37.782835213974, -122.389751404104 37.782296166635, -122.389945172032 37.782449867967)))","323","101","620-650 1st Street","1,867","Oriental Warehouse","Industrial","1,977","110","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Goldrush to Earthquake; Industrial, Warehouse Districts; Chinese American;","Brick Vernacular
Warehouse",,,,"APIA",,,,,"Chinese American","Landmark is associated with a social, ethnic, or cultural group","Y","Association with Chinese Exclusion law; 1877 - Anti-Chinese white mobs - Pickaxe Handle Riots -  tried to burn Pacific Mail Steamship docks","https://sfplanninggis.org/docs/landmarks_and_districts/LM101.pdf","https://sfplanninggis.org/pim?search=3789/532","https://sfplanninggis.org/Preservation/Landmarks/Large/101.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/101.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.419592878209 37.782190397369, -122.419668252188 37.782563249095, -122.419198469733 37.782623071098, -122.419123096653 37.782250219372, -122.419592878209 37.782190397369)))","220","174","625 Polk Street","1,912","California Hall","Institutional","1,984","72","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Great Constructions: Public & Private Institutions, Clubs/Orgs; Architectural Styles, Late 19th/Early 20th c. Revival Period, German Renaissance","German
Renaissance","Frederick H. Meyer",,,"German American","LGBTQ",,,,"German","Landmark is associated with a social, ethnic, or cultural group","Y",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM174.pdf","https://sfplanninggis.org/pim?search=0742/002","https://sfplanninggis.org/Preservation/Landmarks/Large/174.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/174.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.401260002247 37.791589471077, -122.401430694471 37.791566942161, -122.401498971001 37.791557930055, -122.401521910907 37.791669327278, -122.400983519174 37.79173794555, -122.400960797802 37.79162760503, -122.401191662765 37.791598181011, -122.401260002247 37.791589471077)))","279","298","155 SANSOME ST","1,931","""The Allegory of California"" Mural","artwork","2,022","91","Y","N","Y","Assocaited with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master",,,,"Diego Rivera",,,,,,,"Latinx/Chicanx","Landmark is associated with a social, ethnic, or cultural group","Y",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM298.pdf","https://sfplanninggis.org/pim?search=0268001A","https://sfplanninggis.org/Preservation/Landmarks/Large/298.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/298.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.405063935752 37.796478208203, -122.405094065738 37.796628430957, -122.404905706333 37.796497981597, -122.405063935752 37.796478208203)))","36","33","916-920 Kearny Street","1,905","Sentinel Building/Columbus
Tower","OFFICE","1,970","65","N","N","Y",,,"Significant for architecture or design or is the work of a master","Significant for architecture or design or is the work of a master","Earthquake/Reconstruction; Commercial;","Flatiron","Herman Kahlberg and Sol Field; Henrik Bull (renovation)","Abraham Ruef; Francis Ford Coppola; The Kingston Trio",,,"Artistic expression; Jewish (Abe Ruef)",,,"Counter Culture",,"Landmark is associated with a social, ethnic, or cultural group","Y",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM33.pdf","https://sfplanninggis.org/pim?search=0176/013","https://sfplanninggis.org/Preservation/Landmarks/Large/33.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/33.jpg","Adopted","Designed in 1905 by architects Kahlberg & Field for political boss Abe Ruef, this building survived the 1906 earthquake and fire without suffering serious damage. One of San Francisco’s earliest steel framed skyscrapers, the flatiron-shaped building has a seven-story tier of rounded bay windows topped by a steel cupola and finial at the apex of the lot."
"MULTIPOLYGON (((-122.410159954019 37.787973653262, -122.409926750819 37.788003333587, -122.409773053084 37.787255226248, -122.40835813532 37.787436401869, -122.408127348598 37.78746931076, -122.406721692952 37.787647294687, -122.406494162675 37.787676082885, -122.405184447604 37.787841723617, -122.405250168261 37.788165341957, -122.405269439833 37.788260239319, -122.405335513923 37.788585601444, -122.40664434586 37.788421585788, -122.406644220854 37.788420673875, -122.408280814308 37.78821467157, -122.40851215771 37.788184471436, -122.409926750819 37.788003333587, -122.409953904949 37.788190721725, -122.408540840687 37.788370125681, -122.408551042596 37.788436154805, -122.408690963617 37.78911705221, -122.408691347627 37.789117002748, -122.410107750172 37.788937389249, -122.41014493624 37.789124046238, -122.408729291823 37.789303564408, -122.408500396376 37.789332214111, -122.407088042579 37.789511293412, -122.40682565458 37.789575508603, -122.405926174253 37.78969019105, -122.405919753993 37.789659022346, -122.405552120134 37.789705893213, -122.405299828824 37.789737754394, -122.403990570608 37.78990466317, -122.404143718857 37.790648227134, -122.403887823964 37.79067980413, -122.403818150787 37.790341522344, -122.403801822696 37.790262244407, -122.403734833995 37.789936999193, -122.402581580276 37.790084003274, -122.402521785252 37.790091625029, -122.402315347675 37.790117939192, -122.402103345093 37.790145712055, -122.400692358266 37.790325547686, -122.400653986892 37.790139204561, -122.402063450268 37.789959565881, -122.40227879473 37.789932868607, -122.403696364595 37.789752174124, -122.403627982845 37.789420153417, -122.403611234771 37.789338841215, -122.403542234287 37.789003809578, -122.402124230948 37.789182332199, -122.402103947639 37.788993771346, -122.403522210881 37.788815213651, -122.403381115346 37.788070112746, -122.4031685354 37.788097365801, -122.403585411637 37.787765751588, -122.403602044599 37.787853590171, -122.404897267994 37.78768752406, -122.404744628762 37.786935346389, -122.404616875568 37.786951501811, -122.404954677117 37.786684832139, -122.404961272744 37.786717339933, -122.406271003104 37.786551699202, -122.406121069032 37.78580477537, -122.406059718181 37.785812462775, -122.406342981243 37.785589036105, -122.407720517788 37.785416368071, -122.407952157066 37.785386962039, -122.408550288965 37.785311831776, -122.408767325951 37.785284570627, -122.409362037728 37.785209865743, -122.409213851938 37.784458377852, -122.408619184228 37.784533280587, -122.408402165228 37.78456061638, -122.407804078295 37.784635945393, -122.407572396749 37.784665122997, -122.407513894051 37.784672491143, -122.407794755024 37.784445417722, -122.408351984856 37.78437523373, -122.40870184991 37.78433116695, -122.40917177086 37.784271976271, -122.409023403407 37.783532471846, -122.408936548683 37.783543655815, -122.409225912746 37.783315118298, -122.409259291983 37.783502099043, -122.409407790737 37.784242247382, -122.409446011924 37.784428605796, -122.409592574438 37.785171848702, -122.409632641933 37.785358783581, -122.409782879976 37.786106602238, -122.4098202558 37.786292484011, -122.409973532652 37.787040519405, -122.410006835447 37.787228367096, -122.410159954019 37.787973653262), (-122.40508239074 37.78861748421, -122.404997942601 37.788203880605, -122.404930438589 37.787871468693, -122.40363683757 37.788037327061, -122.403699894435 37.788370309143, -122.403715973413 37.788451705882, -122.403779102224 37.788785066578, -122.40508239074 37.78861748421), (-122.405261146285 37.789552428402, -122.405107295665 37.788805498275, -122.403799231749 37.78897369488, -122.403952781096 37.789719222964, -122.405261146285 37.789552428402), (-122.409548217176 37.786137707989, -122.409399022347 37.785395073924, -122.40798339142 37.785572892375, -122.408132020576 37.786313786252, -122.409548217176 37.786137707989), (-122.406495899266 37.786523253645, -122.40790526012 37.786344991828, -122.4077557874 37.785599873835, -122.406346013757 37.785776580725, -122.406495899266 37.786523253645), (-122.409737991215 37.787067322799, -122.409585786355 37.786324510668, -122.408173119594 37.786500150062, -122.408322505079 37.787248572164, -122.409737991215 37.787067322799), (-122.406898067092 37.788578283661, -122.405359954798 37.788770499359, -122.405514277562 37.78951970567, -122.408462192276 37.789146436659, -122.408322523066 37.788467260556, -122.408308624943 37.788399679202, -122.406897858449 37.788576797981, -122.406898067092 37.788578283661), (-122.406683012211 37.787460360707, -122.408095636704 37.787281543109, -122.407945774578 37.786530727012, -122.406532043919 37.786709494248, -122.406308763838 37.786737533311, -122.404998984915 37.786903179438, -122.405151400217 37.787654238353, -122.406459803177 37.787488763096, -122.406683012211 37.787460360707)))","207","233","Along the streets bounded by Market, and Sutter Streets","1,915","The Golden Triangle Light Standards","Object","2,003","88","Y","Y","Y","Associated with historic events","Associated with individuals important to local, state, or national history","Significant for architecture or design or is the work of a master","Associated with historic events; Associated with individuals important to local, state, or national history; Significant for architecture or design or is the work of a master","Great Construction; Government Planning & Infrastructure, Planning & Engineering, Public Places; Events that Shaped the City, Panama Pacific International Exhibition","None",,"Walter D'Arcy Ryan; J.W. Gosling",,,"Commercial: Dowtown Core, Merchants, Leaders & Commercial Identity",,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM233.pdf","https://sfplanninggis.org/pim","https://sfplanninggis.org/Preservation/Landmarks/Large/233.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/233.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.402541615303 37.793451135162, -122.402556965831 37.793525670973, -122.402579933617 37.793637192303, -122.402814855421 37.793607249375, -122.402838636194 37.793722712433, -122.40248712538 37.79376751396, -122.40240980257 37.793392082978, -122.402526393378 37.79337722438, -122.402541615303 37.793451135162)))","338","110","460 Montgomery Street","1,907","Italian American Bank","Commercial","1,980","73","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Reconstruction; Commercial, Downtown Core; Late 19th/Early 20th C. Revival Period, Neo-Classical","Neo-Classical","John Galen Howard, architect; John Debo Galloway, Engineer","Andrea Sbaroro",,"Italian-American",,,,,"Italian","Landmark is associated with a social, ethnic, or cultural group","Y","Further research needed on individuals discussed.","https://sfplanninggis.org/docs/landmarks_and_districts/LM110.pdf","https://sfplanninggis.org/pim?search=0239/014","https://sfplanninggis.org/Preservation/Landmarks/Large/110.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/110.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.493461923029 37.783609663355, -122.493448958403 37.783431449202, -122.493326139789 37.781742990946, -122.501105141489 37.781387773127, -122.501326990748 37.784141055665, -122.502728541889 37.784076155191, -122.504140891189 37.784012583014, -122.50506568923 37.78523763411, -122.503506677591 37.786019823057, -122.503346622549 37.786480492681, -122.502403371318 37.787038627231, -122.501801728467 37.787186445198, -122.501155513416 37.787005681467, -122.501009735111 37.786390297874, -122.500596555986 37.786101934757, -122.500164280657 37.785961349137, -122.499650568119 37.786333507486, -122.499507171219 37.786444956869, -122.499331549811 37.786552041843, -122.498952643849 37.78658096404, -122.498585831971 37.786581539607, -122.498220946439 37.786551748664, -122.49786424384 37.786472923986, -122.497308571633 37.786296128963, -122.497071376343 37.786460514241, -122.496773783483 37.786462286805, -122.495956286253 37.786578539468, -122.495732431506 37.786658906483, -122.495135960656 37.78669955584, -122.494624187057 37.786581605257, -122.4942245805 37.786482355177, -122.494165122722 37.78638315276, -122.494137468569 37.786414722562, -122.494050969976 37.78653364801, -122.493995705737 37.786663772715, -122.493921717613 37.786787900741, -122.49378678783 37.78688648892, -122.493690652102 37.786753913562, -122.493680654339 37.786616483664, -122.493663135545 37.786375662307, -122.493461923029 37.783609663355)))","357","306","90-100 34TH AV","1,868","City Cemetery","Site","2,022","155","Y","N","Y","Assocaited with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Burial; Parks and Recreation",,"William P. Humphreys",,,,,,,"Chinese-American; Jewish; Japanese-American","Chinese-American; Jewish; Japanese-American","Landmark is associated with a social, ethnic, or cultural group",,,"https://sfplanninggis.org/docs/landmarks_and_districts/LM306.pdf","https://sfplanninggis.org/pim?search=1313029","https://sfplanninggis.org/Preservation/Landmarks/Large/306.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/306.jpg","Adopted","City Cemetery is significant historical resource because it represents an early incarnation of social safety nets related to burial of the dead for socially, ethnically, and culturally diverse populations of San Franciscans in the late nineteenth century."
